Id,BURGERLIJKE_STAAT
6ad5591f-896a-4c1c-4421-8c43633fa91a,Widowed
6ad5591f-896a-4c1c-4421-8c43633fa91b,
6ad5591f-896a-4c1c-4421-8c43633fa91c,Divorced
6ad5591f-896a-4c1c-4421-8c43633fa91d,Never Married
6ad5591f-896a-4c1c-4421-8c43633fa91e,Married
6ad5591f-896a-4c1c-4421-8c43633fa91f,Domestic partner
6ad5591f-896a-4c1c-4421-8c43633fa91g,Domestic partner
6ad5591f-896a-4c1c-4421-8c43633fa91h,Widowed
6ad5591f-896a-4c1c-4421-8c43633fa91i,Never Married
6ad5591f-896a-4c1c-4421-8c43633fa91j,Married
6ad5591f-896a-4c1c-4421-8c43633fa91k,Married
6ad5591f-896a-4c1c-4421-8c43633fa91l,
